,date,id,content,username,like_count,retweet_count
65,2023-01-02 10:36:14+00:00,1609861115353206785," We as a country need to properly gardai vetted people before coming to Ireland &amp; increase immigration security to prevent bringing in more foreign problems, also we should not be bringing in groups of male refugees into Ireland especially small towns.",PatrickBleno02,1,0
66,2023-01-02 02:58:29+00:00,1609745918802141185,"Looks like The Irish Refugee Council were right about these young male migrants. They do pose a real danger to children, in fact, they pose a real danger to everyone. Roderic O'Gorman will have a lot of blood on his hands unless he stops this plantation now ",ChrisHahn411,202,35
67,2023-01-02 02:48:54+00:00,1609743507497046016," The poor, unionised workers, women, refugees ... pretty much any one who isn't a white Conservative Christian male or their enablers",DayanthaWarnak1,0,0
68,2023-01-02 00:56:44+00:00,1609715280485269505,Zero notion about any of these MALE refugees that are common by the boat Load every day it will continue to get worse  ,Keithd2988,1,0
69,2023-01-01 17:30:34+00:00,1609602997218349057,"  What if it’s the male who was forced? Will the criminal female be judged as harshly as a male counterpart? I doubt it!  My advice?  Put in immediately for refugee status to immigrate to the United States. If that doesn’t work, get a plane to Mexico &amp; Biden welcomes you to walk in",MyClickInTime,1,0
70,2023-01-01 16:57:45+00:00,1609594741359779854," 100% correct, my experience left me damaged but more confused about sexuality as a whole, my abuse occurred when I was 5, and I was not sexually active until I was 20. I thought I was homosexual because my abuser was a male. I did not understand that my abuser was abusing me ",politicalhomles,2,0
71,2023-01-01 15:50:19+00:00,1609577768169406464,"   From what I see the majority of male refugees entering Ireland are not from Ukraine.
But do not let that bother you",joebtipp,0,0
72,2023-01-01 15:44:28+00:00,1609576297113559040," 1000s of Ukrainian ""refugees"" went home for Christmas report that. 

Or that the average wage in Ukraine is €155.00 p/w 
And a single male/ female is getting €212 P/W  on the dole, with all overheads paid for.",madPat1916,9,0
73,2023-01-01 15:02:35+00:00,1609565758677188609,"   The Syrian war was also a civil war and totally incomparable to Russia's invasion of Ukraine, although Russia has committed big atrocities there too. I believe that there were also probably a lot more male refugees from Syria for obvious reasons.",jdandrews78,1,0
74,2023-01-01 14:16:58+00:00,1609554278477086721," Little wonder the male refugees attack and commit sexual assaults including rape when they arrive here in the UK, they must think it’s not a problem.",DouglasLaing6,2,0
75,2023-01-01 14:14:06+00:00,1609553557333630977," Your Belgard shop is full of male refugees, I won’t shop there anymore, it feels uncomfortable and intimidating. Just so you know.",OppositeBro,0,0
76,2023-01-01 14:01:59+00:00,1609550507118571520,"I am sick of these morons saying that Aust has a problem with refugees, what Aust have a problem with is people who jump the queue &amp; economic climbers. The male architect who died in camp, he'd be alive if he worked at home &amp; now applied for skills visa  ",whateveryeahnah,0,0
77,2023-01-01 13:59:54+00:00,1609549983392600065," Terrorists use woman as shield, at other times woman are not even allowed to go outside house. If same community gets chance to enter European countries as refugees, it would appear like refugees from a male only society.",gurukulguy,0,0
78,2023-01-01 13:58:39+00:00,1609549667771060225," Social media posts of hotel lounges, free meals and pocket money causes stampede of “all male” refugee families heading for the promised land of giveaway. No passports, no birth certificates, no identification documents and all under 16. Happy new year.",Sgt_Nitram,5,2
79,2023-01-01 10:42:41+00:00,1609500353300664320,"    Get the chip off your shoulder there pal,  doesn't spew hate against men, just points out sh***y male behaviour. I've been a doorman/bodyguard etc 20+ years, spent most of that adjusting toxic masculine behaviour including dealing with Tate fanboi MMA types with GHB.",Brexit_Refugee,1,0
80,2023-01-01 04:45:04+00:00,1609410354727075841," I mean, if someone flees from one part of a country to another because the local despot in their home town has ordered the execution of their infant son (and every other newborn male) I think that might qualify as refugee status.",ParkerThayer,0,0
81,2022-12-31 23:45:49+00:00,1609335043708833793," the vast majority illegal male economic migrants including serious criminals (10,000+ Albanians, already the largest foreign grp in UK prisons &amp; Islamic terror op's eg see 'refugee' Abaaoud &amp; Fr victims)  appalling failure to protect our country &amp; citizens",stevehmahoney,2,1
82,2022-12-31 23:41:53+00:00,1609334054654205954," and most were illegal male economic migrants including serious criminals(10,000+ Albanians, already the largest foreign grp in UK prisons, &amp; Islamic terror op's, eg see 'refugee' Abaaoud &amp; Fr victims). Appalling failure to protect the people of this country ...... ",stevehmahoney,1,2
83,2022-12-31 23:11:53+00:00,1609326507939467264,"   The ad implies that they were refugees in Bethlehem, they were not. They went to Bethlehem for the census and then fled to Egypt because Herod ordered the killing of all male children under the age of two. trying to related to illegal immigration in US just infuriating",FrancieShuder,4,0
84,2022-12-31 22:55:31+00:00,1609322387732066306,"For women:
-Vote for women
-Avoid religious candidates
-ensure your local laws protect abortion and contraception.  If they don’t, start a campaign
- Donate to women’s relief funds
-push govts to recognise male violence as an emergency 
-push for increased female refugee quotas ",duskywhalerkate,17,4
85,2022-12-31 14:30:07+00:00,1609195199561076737,"   In the USA/UK... tbf the central/Eastern European people I know still in that world don't buy into all that alpha-male internet BS, they just train.

How's it regarded in Asia?",Brexit_Refugee,0,0
86,2022-12-31 11:55:50+00:00,1609156373392113665," primary concern has been the invasion of 90,000+ illegal mainly male economic migrants (inc' serious criminals, see Albanians/UK prisons &amp; Islamic terror op's, see 'refugee' Abaaoud &amp; Fr fatalities) landed in Dover by  for the past two+ years. You're a waste of space",stevehmahoney,2,0
87,2022-12-31 11:46:37+00:00,1609154052847288320,"Just in  1/3 of the 75'000 refugees, or 25'000, are male! There are 5 Mio.  refugees in Europe! 

The Ukrainian propaganda tries to downplay the large percentage of men, who desert and do not want to be cannon fodder in a proxy war between Russia and US/NATO! ",swiss_lol,3,0
88,2022-12-31 11:41:50+00:00,1609152848620621824,"    Well if we go back to the article from that refugee woman weeks ago feeling unsafe in Eastwall...well one of the fake refugees male(s) done a Conor McGregor on one of the female refugees 

",DavoKurlo,1,0
89,2022-12-31 10:47:17+00:00,1609139119606697985,"    A woman in my area in one, advocating on the behalf of male refugees in our community...this is the same woman who with other residents opposed social housing and a chipper (?) in our area because they didn't want low life's around apparently,you seriously couldn't think it up ",Ebhlin4,1,0
90,2022-12-31 05:40:20+00:00,1609061874624086016,"   What goes around comes around. Every human is worthy of respect: 
(49:13)""O humankind! We created you from a single (pair) of a male and a female, and made you into nations and tribes, that you may know each other (not that you may despise each other).”",Nasir_Shah65,0,0
91,2022-12-30 20:53:05+00:00,1608929188748365825,"&lt;   ,  Youll want to read this on covid-linked autoimmune immune defiencies &gt; 

This syndrome skews older, male and &gt;&gt;clustsers with other autoimmunities&lt;&lt;

~ only shows up on ""neutralizing essays""",adamrocketblack,0,0
92,2022-12-30 20:29:06+00:00,1608923150271807489,"   Oric, then his men had fled Srebrenica (via an agreement with Mladic

It was mostly civilian male refugees who were killed. Besides, they didn't live in Srebrenica itself, but in the surrounding countryside.The purpose of the killing was to make the Muslims of the city disappear",AmirKf7,0,0
93,2022-12-30 20:08:03+00:00,1608917856082857985," vast majority being brought by  to Dover daily are illegal male economic migrants inc' serious criminals(10,000+ Albanians this yr-see UK prisons) &amp; Islamic terror op's(see 'refugee' Abaaoud &amp; Fr fatalities); fail to remove them &amp; it will continue. You need to get real",stevehmahoney,0,0
94,2022-12-30 19:29:50+00:00,1608908237524570112," The same in Canada.  Basically non are properly investigated.  Our murders, assaults, drug related crimes have sky rocketed mostly caused by third world male refugees.  Trudeau is allowing so many, we don’t have room in our health system, education or housing. Close the borders.",Spanard237,0,0
95,2022-12-30 18:59:55+00:00,1608900707842953216,"  People drowned as a consequence of NGOs ferry-services. I worked with Afghan women in the field for two years, but question is; how comes that most afghan refugees seem to be of the male sex?",PMoesick,0,0
96,2022-12-30 13:21:42+00:00,1608815593695870976," women are now mostly restricted from working outside the home, they must cover their faces in public, and they have to be accompanied by a male chaperone when they travel. Furthermore, they continue to be subjected to multiple forms of gender-based violence.  ",Refugees_Indon,0,0
97,2022-12-30 04:41:31+00:00,1608684686024540160,"  As a local, I have seen girls wearing boys' clothes to study or even work; this was done for a few reasons. First, her family may not have had male children, or at an early age, she may have been dressed as a boy.",Khan56418570,0,0
98,2022-12-30 01:48:53+00:00,1608641239016157185,"the autuchonous women were in some respects getting even with their male counterparts. 

Until it all came tumbling down as dirty Moors, amalgamated sons, Mongolian refugees, freed Slavs, and the Papacy (Christian nations) strategically took advantage of this disunity",naga_moro,6,3
99,2022-12-29 23:48:05+00:00,1608610841070555136,"real men don't violate women. real men take accountability for their actions. real men don't act like andrew tate. 

ps. i'm not a male feminist",NewsomRefugee,0,0
100,2022-12-29 22:35:29+00:00,1608592569700868096, Probably a mixture of the attendance and the fact there’s 150 male refugees housed in the hotel next to the ground,PeterWood82,0,0
